country,ev_sales,year
China,13300000,2025
United States,1530000,2025
Germany,860000,2025
United Kingdom,700000,2025
France,450000,2025
Turkey,237000,2025
Spain,230000,2025
Netherlands,228000,2025
South Korea,217000,2025
Italy,193000,2025
Vietnam,180077,2025
Belgium,180000,2025
Brazil,178000,2025
Sweden,173000,2025
Norway,172800,2025
